session_id,pattern,strength,target_step,expected_kinds,observed_kinds,ordering_class,ide_replay_class,rework_class,hygiene_class,ordering_max_magnitude,ide_replay_max_magnitude,rework_max_magnitude,hygiene_max_magnitude,injection,injection_caught,injection_max_magnitude,endpoint_improved,perstep_hit,advisor_hit,control_dp_count,ordering_dp_count,ide_replay_dp_count,rework_dp_count,hygiene_dp_count,ordering_alt_count,ide_replay_alt_count,rework_alt_count,hygiene_alt_count,ordering_min_magnitude,ide_replay_min_magnitude,rework_min_magnitude,hygiene_min_magnitude,ordering_mean_magnitude,ide_replay_mean_magnitude,rework_mean_magnitude,hygiene_mean_magnitude,ordering_beats_count,ide_replay_beats_count,rework_beats_count,hygiene_beats_count,ordering_magnitudes,ide_replay_magnitudes,rework_magnitudes,hygiene_magnitudes,total_dp_count,total_alt_count,best_alt_magnitude,user_final_process_score,cleanliness_delta,perstep_regression_steps,injection_dp_count,injection_dp_rank,injection_step_match
011,ManualInlineMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,23.0000,,,IDE_REPLAY,true,23.0000,true,true,NA,2,0,1,0,0,0,1,0,0,,23.0000,,,,23.0000,,,0,1,0,0,,23.0000,,,1,1,23.0000,50,34,2;3,1,1,false
012,ManualInlineMethod,borderline,2,ORDERING;IDE_REPLAY,,FN,FN,TN,TN,,,,,IDE_REPLAY,false,,false,true,NA,2,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,0,-100,3,0,,false
013,ManualInlineMethod,borderline,2,ORDERING;IDE_REPLAY,IDE_REPLAY;ORDERING,TP,TP,TN,TN,9.0000,11.0000,,,IDE_REPLAY,true,11.0000,false,true,NA,2,1,1,0,0,1,1,0,0,9.0000,11.0000,,,9.0000,11.0000,,,1,1,0,0,9.0000,11.0000,,,2,2,11.0000,28,-34,3,1,1,false
014,ManualMoveMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,5.0000,,,IDE_REPLAY,true,5.0000,true,true,NA,3,0,1,0,0,0,1,0,0,,5.0000,,,,5.0000,,,0,1,0,0,,5.0000,,,1,1,5.0000,69,100,3,1,1,true
015,ManualMoveMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,3.0000,,,IDE_REPLAY,true,3.0000,false,true,NA,3,0,1,0,0,0,1,0,0,,3.0000,,,,3.0000,,,0,1,0,0,,3.0000,,,1,1,3.0000,14,-34,2;3;8,1,1,true
016,ManualMoveMethod,borderline,2,ORDERING;IDE_REPLAY,,FN,FN,TN,TN,,,,,IDE_REPLAY,false,,false,true,NA,2,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,2,-75,1;2;7,0,,false
017,ManualMoveMethod,borderline,2,ORDERING;IDE_REPLAY,,FN,FN,TN,TN,,,,,IDE_REPLAY,false,,false,true,NA,2,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,0,-100,3;4,0,,false
018,ManualExtractVariable,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,14.0000,,,IDE_REPLAY,true,14.0000,true,true,NA,2,0,1,0,0,0,1,0,0,,14.0000,,,,14.0000,,,0,1,0,0,,14.0000,,,1,1,14.0000,71,72,2;3,1,1,false
019,ManualExtractVariable,loud,2,ORDERING;IDE_REPLAY,,FN,FN,TN,TN,,,,,IDE_REPLAY,false,,true,false,NA,2,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,66,50,,0,,false
020,ManualExtractVariable,borderline,2,ORDERING;IDE_REPLAY,,FN,FN,TN,TN,,,,,IDE_REPLAY,false,,true,true,NA,2,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,53,13,2,0,,false
021,ManualExtractVariable,borderline,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,7.0000,,,IDE_REPLAY,true,7.0000,false,true,NA,2,0,1,0,0,0,1,0,0,,7.0000,,,,7.0000,,,0,1,0,0,,7.0000,,,1,1,7.0000,18,-50,1;2,1,1,false
022,SuboptimalOrdering,loud,4,ORDERING,ORDERING,TP,TN,TN,TN,1.0000,,,,ORDERING,true,1.0000,true,false,NA,0,1,0,0,0,2,0,0,0,1.0000,,,,1.0000,,,,1,0,0,0,1.0000,,,,1,2,1.0000,64,34,,1,1,false
023,SuboptimalOrdering,loud,4,ORDERING,,FN,TN,TN,TN,,,,,ORDERING,false,,false,true,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,50,0,5,0,,false
024,SuboptimalOrdering,borderline,3,ORDERING,,FN,TN,TN,TN,,,,,ORDERING,false,,true,false,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,90,92,1,0,,false
025,SuboptimalOrdering,borderline,3,ORDERING,,FN,TN,TN,TN,,,,,ORDERING,false,,false,false,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,25,-50,1,0,,false
026,SuboptimalOrdering,borderline,3,ORDERING,ORDERING,TP,TN,TN,TN,0.0000,,,,ORDERING,false,0.0000,false,true,NA,2,1,0,0,0,2,0,0,0,0.0000,,,,0.0000,,,,0,0,0,0,0.0000,,,,1,2,0.0000,0,-100,3,1,1,false
027,AddThenRevert,loud,1,REWORK,REWORK,TN,TN,TP,TN,,,8.0000,,REWORK,true,8.0000,true,true,NA,0,0,0,1,0,0,0,1,0,,,8.0000,,,,8.0000,,0,0,1,0,,,8.0000,,1,1,8.0000,61,25,2,1,1,true
028,AddThenRevert,loud,1,REWORK,REWORK,TN,TN,TP,TN,,,5.0000,,REWORK,true,5.0000,false,true,NA,0,0,0,1,0,0,0,1,0,,,5.0000,,,,5.0000,,0,0,1,0,,,5.0000,,1,1,5.0000,46,0,1;4;6;8,1,1,false
029,AddThenRevert,borderline,1,REWORK,REWORK,TN,TN,TP,TN,,,10.0000,,REWORK,true,10.0000,false,true,NA,2,0,0,1,0,0,0,1,0,,,10.0000,,,,10.0000,,0,0,1,0,,,10.0000,,1,1,10.0000,27,-42,1;2,1,1,false
030,AddThenRevert,borderline,1,REWORK,REWORK,TN,TN,TP,TN,,,6.0000,,REWORK,true,6.0000,false,false,NA,2,0,0,1,0,0,0,1,0,,,6.0000,,,,6.0000,,0,0,1,0,,,6.0000,,1,1,6.0000,50,0,,1,1,false
031,AddThenRevert,borderline,1,REWORK,REWORK,TN,TN,TP,TN,,,6.0000,,REWORK,true,6.0000,false,false,NA,2,0,0,1,0,0,0,1,0,,,6.0000,,,,6.0000,,0,0,1,0,,,6.0000,,1,1,6.0000,50,0,,1,1,false
032,SkippedTests,loud,3,HYGIENE;ORDERING,HYGIENE,FN,TN,TN,TP,,,,3.0000,HYGIENE,true,3.0000,true,true,NA,2,0,0,0,2,0,0,0,2,,,,3.0000,,,,3.0000,0,0,0,2,,,,3.0000;3.0000,2,2,3.0000,56,30,3,2,1,false
033,SkippedTests,loud,4,HYGIENE;ORDERING,ORDERING;HYGIENE,TP,TN,TN,TP,2.0000,,,2.0000,HYGIENE,true,2.0000,true,false,NA,2,1,0,0,3,2,0,0,3,2.0000,,,2.0000,2.0000,,,2.0000,1,0,0,3,2.0000,,,2.0000;2.0000;2.0000,4,5,2.0000,84,100,1,3,1,false
034,SkippedTests,borderline,2,HYGIENE;ORDERING,HYGIENE,FN,TN,TN,TP,,,,3.0000,HYGIENE,true,3.0000,false,true,NA,2,0,0,0,2,0,0,0,2,,,,3.0000,,,,3.0000,0,0,0,2,,,,3.0000;3.0000,2,2,3.0000,40,,1,2,1,true
035,SkippedTests,borderline,2,HYGIENE;ORDERING,ORDERING;HYGIENE,TP,TN,TN,TP,4.0000,,,4.0000,HYGIENE,true,4.0000,true,true,NA,2,1,0,0,2,1,0,0,2,4.0000,,,4.0000,4.0000,,,4.0000,1,0,0,2,4.0000,,,4.0000;4.0000,3,3,4.0000,82,100,1,2,2,true
036,SkippedTests,borderline,1,HYGIENE,HYGIENE,TN,TN,TN,TP,,,,9.0000,HYGIENE,true,9.0000,false,true,NA,2,0,0,0,1,0,0,0,1,,,,9.0000,,,,9.0000,0,0,0,1,,,,9.0000,1,1,9.0000,41,,1,1,1,true
037,NoCommitStretch,loud,7,REWORK;HYGIENE;ORDERING,REWORK;HYGIENE,FN,TN,TP,TP,,,0.0000,7.0000,HYGIENE,true,7.0000,false,false,NA,0,0,0,3,1,0,0,3,1,,,-3.0000,7.0000,,,-2.0000,7.0000,0,0,0,1,,,-3.0000;-3.0000;0.0000,7.0000,4,4,7.0000,31,-25,5;9,1,1,false
038,NoCommitStretch,loud,8,HYGIENE;ORDERING,ORDERING;HYGIENE,TP,TN,TN,TP,0.0000,,,7.0000,HYGIENE,true,7.0000,false,false,NA,0,3,0,0,1,23,0,0,1,0.0000,,,7.0000,0.0000,,,7.0000,0,0,0,1,0.0000;0.0000;0.0000,,,7.0000,4,24,7.0000,43,,6,1,1,false
039,NoCommitStretch,borderline,6,REWORK;HYGIENE;ORDERING,ORDERING;REWORK;HYGIENE,TP,TN,TP,TP,0.0000,,3.0000,7.0000,HYGIENE,true,7.0000,false,false,NA,0,1,0,3,1,2,0,3,1,0.0000,,-2.0000,7.0000,0.0000,,-0.3333,7.0000,0,0,1,1,0.0000,,-2.0000;-2.0000;3.0000,7.0000,5,6,7.0000,41,0,1;4;9,1,1,false
040,NoCommitStretch,borderline,6,REWORK;ORDERING,ORDERING;REWORK,TP,TN,TP,TN,0.0000,,-6.0000,,HYGIENE,false,,false,true,NA,0,3,0,1,0,11,0,1,0,0.0000,,-6.0000,,0.0000,,-6.0000,,0,0,0,0,0.0000;0.0000;0.0000,,-6.0000,,4,12,0.0000,24,-50,6,0,,false
041,Control,control,-1,ORDERING,ORDERING,TP,TN,TN,TN,2.0000,,,,,,,false,false,NA,-1,4,0,0,0,119,0,0,0,-2.0000,,,,1.0000,,,,3,0,0,0,-2.0000;2.0000;2.0000;2.0000,,,,4,119,2.0000,48,0,3,,,
042,Control,control,-1,ORDERING,ORDERING,TP,TN,TN,TN,0.0000,,,,,,,false,false,NA,-1,2,0,0,0,5,0,0,0,0.0000,,,,0.0000,,,,0,0,0,0,0.0000;0.0000,,,,2,5,0.0000,50,,,,,
043,AddThenRevert,borderline,1,REWORK;ORDERING,ORDERING;REWORK,TP,TN,TP,TN,-1.0000,,-6.0000,,REWORK,false,-6.0000,true,false,NA,0,1,0,1,0,1,0,1,0,-1.0000,,-6.0000,,-1.0000,,-6.0000,,0,0,0,0,-1.0000,,-6.0000,,2,2,-1.0000,64,33,3,1,2,false
044,Control,control,-1,ORDERING,ORDERING,TP,TN,TN,TN,7.0000,,,,,,,true,false,NA,-1,3,0,0,0,23,0,0,0,4.0000,,,,5.3333,,,,3,0,0,0,4.0000;5.0000;7.0000,,,,3,23,7.0000,89,93,3,,,
045,Control,control,-1,,,TN,TN,TN,TN,,,,,,,,true,false,NA,-1,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,,96,100,,,,
